GP,Date,Time,Location,Opponent,GF,GA,Outcome,Overtime,W,L,OL,Streak,Att.,Length,Notes
1,2022-10-12,10:00 PM,Away,Anaheim Ducks,4,5,L,OT,0,0,1,L 1,17530,148,
2,2022-10-13,10:30 PM,Away,Los Angeles Kings,4,1,W,REG,1,0,1,W 1,15645,148,
3,2022-10-15,10:00 PM,Home,Vegas Golden Knights,2,5,L,REG,1,1,1,L 1,17151,152,
4,2022-10-17,10:00 PM,Home,Carolina Hurricanes,1,5,L,REG,1,2,1,L 2,17151,150,
5,2022-10-19,10:00 PM,Home,St. Louis Blues,3,4,L,OT,1,2,2,L 3,17151,147,
6,2022-10-21,9:00 PM,Away,Colorado Avalanche,3,2,W,REG,2,2,2,W 1,18131,146,
7,2022-10-23,2:00 PM,Away,Chicago Blackhawks,4,5,L,REG,2,3,2,L 1,14892,146,
8,2022-10-25,10:00 PM,Home,Buffalo Sabres,5,1,W,REG,3,3,2,W 1,17151,141,
9,2022-10-27,10:00 PM,Home,Vancouver Canucks,4,5,L,REG,3,4,2,L 1,17151,151,
10,2022-10-29,10:00 PM,Home,Pittsburgh Penguins,3,1,W,REG,4,4,2,W 1,17151,153,
11,2022-11-01,9:00 PM,Away,Calgary Flames,5,4,W,REG,5,4,2,W 2,16803,153,
12,2022-11-03,8:00 PM,Away,Minnesota Wild,4,0,W,REG,6,4,2,W 3,17221,139,
13,2022-11-05,7:00 PM,Away,Pittsburgh Penguins,3,2,W,REG,7,4,2,W 4,18302,130,
14,2022-11-08,10:00 PM,Home,Nashville Predators,5,1,W,REG,8,4,2,W 5,17151,138,
15,2022-11-11,10:00 PM,Home,Minnesota Wild,0,1,L,REG,8,5,2,L 1,17151,142,
16,2022-11-13,8:00 PM,Home,Winnipeg Jets,2,3,L,OT,8,5,3,L 2,17151,148,
17,2022-11-17,10:00 PM,Home,New York Rangers,3,2,W,OT,9,5,3,W 1,17151,148,
18,2022-11-19,10:00 PM,Home,Los Angeles Kings,3,2,W,OT,10,5,3,W 2,17151,141,
19,2022-11-23,10:00 PM,Home,San Jose Sharks,8,5,W,REG,11,5,3,W 3,17151,145,
20,2022-11-25,8:00 PM,Away,Vegas Golden Knights,4,2,W,REG,12,5,3,W 4,18119,142,
21,2022-11-27,8:00 PM,Away,Anaheim Ducks,5,4,W,REG,13,5,3,W 5,14324,145,
22,2022-11-29,10:30 PM,Away,Los Angeles Kings,9,8,W,OT,14,5,3,W 6,13215,151,
23,2022-12-01,10:00 PM,Home,Washington Capitals,3,2,W,OT,15,5,3,W 7,17151,145,
24,2022-12-03,10:00 PM,Home,Florida Panthers,1,5,L,REG,15,6,3,L 1,17151,144,
25,2022-12-06,10:00 PM,Home,Montreal Canadiens,2,4,L,REG,15,7,3,L 2,17151,148,
26,2022-12-09,7:00 PM,Away,Washington Capitals,1,4,L,REG,15,8,3,L 3,18573,145,
27,2022-12-11,6:00 PM,Away,Florida Panthers,5,2,W,REG,16,8,3,W 1,15625,148,
28,2022-12-13,7:00 PM,Away,Tampa Bay Lightning,2,6,L,REG,16,9,3,L 1,19092,154,
29,2022-12-15,7:00 PM,Away,Carolina Hurricanes,2,3,L,REG,16,10,3,L 2,18680,143,
30,2022-12-18,8:00 PM,Home,Winnipeg Jets,3,2,W,REG,17,10,3,W 1,17151,142,
31,2022-12-20,10:00 PM,Home,St. Louis Blues,5,2,W,REG,18,10,3,W 2,17151,140,
32,2022-12-22,10:00 PM,Away,Vancouver Canucks,5,6,L,SO,18,10,4,L 1,18794,159,
33,2022-12-28,10:00 PM,Home,Calgary Flames,2,3,L,REG,18,11,4,L 2,17151,148,
34,2022-12-30,10:00 PM,Home,Edmonton Oilers,2,7,L,REG,18,12,4,L 3,17151,147,
35,2023-01-01,8:00 PM,Home,New York Islanders,4,1,W,REG,19,12,4,W 1,17151,149,
36,2023-01-03,9:00 PM,Away,Edmonton Oilers,5,2,W,REG,20,12,4,W 2,18297,149,
37,2023-01-05,7:00 PM,Away,Toronto Maple Leafs,5,1,W,REG,21,12,4,W 3,18624,141,
38,2023-01-07,7:00 PM,Away,Ottawa Senators,8,4,W,REG,22,12,4,W 4,19347,152,
39,2023-01-09,7:30 PM,Away,Montreal Canadiens,4,0,W,REG,23,12,4,W 5,21105,140,
40,2023-01-10,7:00 PM,Away,Buffalo Sabres,4,3,W,REG,24,12,4,W 6,13219,149,
41,2023-01-12,7:00 PM,Away,Boston Bruins,3,0,W,REG,25,12,4,W 7,17850,137,
42,2023-01-14,8:00 PM,Away,Chicago Blackhawks,8,5,W,REG,26,12,4,W 8,20075,148,
43,2023-01-16,4:00 PM,Home,Tampa Bay Lightning,1,4,L,REG,26,13,4,L 1,17151,138,
44,2023-01-17,9:00 PM,Away,Edmonton Oilers,2,5,L,REG,26,14,4,L 2,18183,146,
45,2023-01-19,10:00 PM,Home,New Jersey Devils,4,3,W,OT,27,14,4,W 1,17151,154,
46,2023-01-21,10:00 PM,Home,Colorado Avalanche,1,2,L,SO,27,14,5,L 1,17151,152,
47,2023-01-25,10:00 PM,Home,Vancouver Canucks,6,1,W,REG,28,14,5,W 1,17151,145,
48,2023-01-27,10:00 PM,Home,Calgary Flames,2,5,L,REG,28,15,5,L 1,17151,152,
49,2023-01-28,10:00 PM,Home,Columbus Blue Jackets,3,1,W,REG,29,15,5,W 1,17151,150,
50,2023-02-07,7:30 PM,Away,New York Islanders,0,4,L,REG,29,16,5,L 1,17255,141,
51,2023-02-09,7:00 PM,Away,New Jersey Devils,1,3,L,REG,29,17,5,L 2,15697,145,
52,2023-02-10,7:00 PM,Away,New York Rangers,3,6,L,REG,29,18,5,L 3,18006,152,
53,2023-02-12,1:00 PM,Away,Philadelphia Flyers,4,3,W,REG,30,18,5,W 1,18129,139,
54,2023-02-14,8:00 PM,Away,Winnipeg Jets,2,3,L,SO,30,18,6,L 1,14237,156,
55,2023-02-16,10:00 PM,Home,Philadelphia Flyers,6,2,W,REG,31,18,6,W 1,17151,146,
56,2023-02-18,10:30 PM,Home,Detroit Red Wings,4,2,W,REG,32,18,6,W 2,17151,150,
57,2023-02-20,4:00 PM,Away,San Jose Sharks,0,4,L,REG,32,19,6,L 1,13445,139,
58,2023-02-23,10:00 PM,Home,Boston Bruins,5,6,L,REG,32,20,6,L 2,17151,158,
59,2023-02-26,7:00 PM,Home,Toronto Maple Leafs,1,5,L,REG,32,21,6,L 3,17151,136,
60,2023-02-28,8:00 PM,Away,St. Louis Blues,5,3,W,REG,33,21,6,W 1,18096,143,
61,2023-03-02,7:00 PM,Away,Detroit Red Wings,5,4,W,OT,34,21,6,W 2,19289,156,
62,2023-03-03,7:00 PM,Away,Columbus Blue Jackets,4,2,W,REG,35,21,6,W 3,18712,147,
63,2023-03-05,9:00 PM,Away,Colorado Avalanche,3,2,W,OT,36,21,6,W 4,18107,148,
64,2023-03-07,10:00 PM,Home,Anaheim Ducks,5,2,W,REG,37,21,6,W 5,17151,146,
65,2023-03-09,10:00 PM,Home,Ottawa Senators,4,5,L,REG,37,22,6,L 1,17151,154,
66,2023-03-11,10:00 PM,Home,Dallas Stars,3,4,L,OT,37,22,7,L 2,17151,148,
67,2023-03-13,10:00 PM,Home,Dallas Stars,2,5,L,REG,37,23,7,L 3,17151,147,
68,2023-03-16,10:30 PM,Away,San Jose Sharks,2,1,W,OT,38,23,7,W 1,11720,141,
69,2023-03-18,4:00 PM,Home,Edmonton Oilers,4,6,L,REG,38,24,7,L 1,17171,153,
70,2023-03-21,8:30 PM,Away,Dallas Stars,5,4,W,OT,39,24,7,W 1,18532,150,
71,2023-03-23,8:00 PM,Away,Nashville Predators,1,2,L,SO,39,24,8,L 1,17436,145,
72,2023-03-25,2:00 PM,Away,Nashville Predators,7,2,W,REG,40,24,8,W 1,17335,144,
73,2023-03-27,8:00 PM,Away,Minnesota Wild,1,5,L,REG,40,25,8,L 1,19291,148,
74,2023-03-30,10:00 PM,Home,Anaheim Ducks,4,1,W,REG,41,25,8,W 1,17151,138,
75,2023-04-01,10:00 PM,Home,Los Angeles Kings,1,3,L,REG,41,26,8,L 1,17151,148,
76,2023-04-03,10:00 PM,Home,Arizona Coyotes,8,1,W,REG,42,26,8,W 1,17151,153,
77,2023-04-04,10:00 PM,Away,Vancouver Canucks,5,2,W,REG,43,26,8,W 2,18722,141,
78,2023-04-06,10:30 PM,Home,Arizona Coyotes,4,2,W,REG,44,26,8,W 3,17151,157,
79,2023-04-08,10:00 PM,Home,Chicago Blackhawks,7,3,W,REG,45,26,8,W 4,17151,149,
80,2023-04-10,10:00 PM,Away,Arizona Coyotes,4,1,W,REG,46,26,8,W 5,4600,140,
81,2023-04-11,10:00 PM,Away,Vegas Golden Knights,1,4,L,REG,46,27,8,L 1,18377,145,
82,2023-04-13,10:30 PM,Home,Vegas Golden Knights,1,3,L,REG,46,28,8,L 2,17151,152,
